stp2loop16-63um-in-loop1pts-10um-25deg-250rpm05/12/202208:50:59	
Time (seconds)	Raw Heat Rate (uJ / s)
1399	-96,39601664
1400	-96,39927007
1401	-96,40240938
1402	-96,40538147
1403	-96,40815558
1404	-96,41068016
1405	-96,41296263
1406	-96,41507534
1407	-96,41701093
1408	-96,41880419
1409	-96,42049566
1410	-96,42203739
1411	-96,42334499
1412	-96,42439479
1413	-96,4251748
1414	-96,42571106
1415	-96,42606725
1416	-96,42645207
1417	-96,42696867
1418	-96,42754734
1419	-96,42818281
1420	-96,42883867
1421	-96,42949207
1422	-96,43019364
1423	-96,43095282
1424	-96,43172617
1425	-96,4324846
1426	-96,43330973
1427	-96,4341831
1428	-96,43509943
1429	-96,43606108
1430	-96,43703623
1431	-96,43794518
1432	-96,43875893
1433	-96,43951492
1434	-96,44014764
1435	-96,44056395
1436	-96,440651
1437	-96,44028879
1438	-96,43942827
1439	-96,4382458
1440	-96,43685779
1441	-96,43525671
1442	-96,43351082
1443	-96,43160275
1444	-96,42954203
1445	-96,42739955
1446	-96,42521213
1447	-96,42303622
1448	-96,42094803
1449	-96,41901958
1450	-96,4173091
1451	-96,41586397
1452	-96,41473689
1453	-96,4139523
1454	-96,41330778
1455	-96,41260991
1456	-96,41183867
1457	-96,41094413
1458	-96,41002443
1459	-96,40911839
1460	-96,40816143
1461	-96,40714216
