scan 1120/11/202208:13:50		
temp(°=C)	power	time(seconds)
79,49783325	0,081438415	4471,150391
79,59977722	0,071931772	4477,268555
79,70163727	0,058309965	4483,381348
79,80347443	0,034999732	4489,489746
79,9054184	0,022382541	4495,607422
80,00739288	0,020754928	4501,726074
80,10923767	0,027164932	4507,838867
80,21114349	0,033496328	4513,950684
80,31304169	0,035279661	4520,063965
80,41486359	0,037300412	4526,174316
80,51689911	0,037183862	4532,297852
80,61890411	0,03786217	4538,416504
80,72076416	0,037119035	4544,529297
80,82258606	0,037174791	4550,638672
80,92453766	0,03823993	4556,756836
81,0265274	0,036298212	4562,876465
81,12833405	0,033369958	4568,98584
81,2302475	0,035450332	4575,100098
81,33203125	0,038022552	4581,209473
81,43398285	0,03976192	4587,322754
81,53591156	0,042248059	4593,439453
81,6377182	0,044609416	4599,549805
81,73963165	0,049055241	4605,666016
81,84160614	0,0537665	4611,782715
81,94342804	0,05475942	4617,890137
82,04530334	0,056549881	4624,005371
82,1472702	0,060478311	4630,124512
82,24913788	0,066669658	4636,23584
82,35108185	0,072809376	4642,352539
82,45307922	0,081491202	4648,473145
82,55500031	0,08891131	4654,587891
82,65679169	0,096480228	4660,692871
82,75853729	0,101579651	4666,800781
82,8605957	0,107945554	4672,925293
82,96248627	0,113508321	4679,036621
83,06437683	0,12109831	4685,150391
83,1663208	0,130769894	4691,268555
83,26835632	0,141948029	4697,391113
83,37045288	0,147255868	4703,515625
83,47241974	0,151974872	4709,638184
83,57434845	0,171377897	4715,748047
83,67645264	0,190831497	4721,877441
83,77849579	0,199241787	4727,999023
83,88027954	0,209453553	4734,10791
83,98216248	0,230193213	4740,21875
84,08418274	0,24359253	4746,338867
84,18600464	0,265376866	4752,448242
84,28790283	0,283974171	4758,5625
84,38988495	0,298830777	4764,681641
84,49184418	0,313916862	4770,801758
84,5938797	0,337462932	4776,921387
84,69586182	0,352733403	4783,040039
84,79776764	0,376091033	4789,154785
84,89959717	0,400757968	4795,26416
85,00146484	0,404125392	4801,376953
85,10342407	0,399334013	4807,495605
85,20522308	0,395121872	4813,601563
85,30705261	0,394539416	4819,714355
85,40896606	0,39920947	4825,827148
85,51094818	0,408043563	4831,946777
85,61286926	0,410639882	4838,061523
85,71485138	0,406783283	4844,182129
85,81664276	0,402993381	4850,289551
85,91867828	0,401535034	4856,411621
86,02066803	0,399229378	4862,529297
86,12245941	0,399322361	4868,636719
86,22439575	0,401295811	4874,753418
