scan 720/11/202208:13:50						
temp(C)	power	time(seconds)				
55,44572067	0,749025702	3027,999023				
55,54769516	0,752557278	3034,116699				
55,64971542	0,76268518	3040,235596				
55,75159836	0,765795052	3046,350098				
55,85352707	0,78056854	3052,467529				
55,95553207	0,790633321	3058,586426				
56,05752563	0,794939816	3064,704102				
56,15950012	0,805777073	3070,823242				
56,26148224	0,819164634	3076,942871				
56,36341858	0,82451117	3083,059814				
56,46542358	0,82594806	3089,180176				
56,56734848	0,827566266	3095,292969				
56,66927338	0,830699086	3101,409424				
56,77120972	0,833923459	3107,526855				
56,87311172	0,833291471	3113,639404				
56,97500229	0,832692683	3119,751953				
57,07692719	0,831447303	3125,868408				
57,17880249	0,831816554	3131,98291				
57,28084564	0,833363295	3138,10376				
57,38274384	0,833581626	3144,219482				
57,48463058	0,837283492	3150,331787				
57,58659363	0,843867004	3156,448975				
57,68854141	0,845596075	3162,566406				
57,79046631	0,850905299	3168,682129				
57,89234543	0,856259286	3174,794922				
57,99420166	0,855168223	3180,906738				
58,09619522	0,853376329	3187,02417				
58,1981163	0,857628882	3193,139893				
58,30003357	0,868950963	3199,257568				
58,40195465	0,873610795	3205,369141				
58,50383759	0,880238593	3211,483643				
58,60573578	0,88894558	3217,601074				
58,7076416	0,894104362	3223,714111				
58,80955505	0,890959024	3229,827148				
58,91145325	0,89082402	3235,94043				
59,01334381	0,895161688	3242,053467				
59,11526871	0,895996928	3248,170654				
59,21715927	0,899386942	3254,282959				
59,31905746	0,9031986	3260,39502				
59,42092896	0,903193533	3266,51001				
59,52279663	0,90633148	3272,62085				
59,62473297	0,910229087	3278,738525				
59,72662354	0,915045917	3284,850586				
59,82857513	0,920441866	3290,968994				
59,93053055	0,92093879	3297,085693				
60,03235245	0,919217408	3303,194092				
60,13424683	0,92268306	3309,306396				
60,23616791	0,92367661	3315,423584				
60,33805847	0,924400151	3321,537598				
60,43994904	0,923300087	3327,650146				
60,54179382	0,925543427	3333,760986				
60,64375687	0,928990781	3339,87793				
60,74573898	0,932157993	3345,997559				
60,84766006	0,936573684	3352,113525				
60,94966507	0,940451026	3358,234131				
61,05158997	0,94391048	3364,348877				
61,15354538	0,945126772	3370,466553				
61,25549698	0,945825219	3376,58252				
61,35746765	0,947871208	3382,700928				
61,45940399	0,950043142	3388,819092				
61,56136703	0,949562728	3394,935303				
61,66332245	0,948500037	3401,053711				
61,76533127	0,949121416	3407,176758				
61,86728668	0,947644353	3413,29126				
61,96936417	0,947393596	3419,415771				
62,07129669	0,948306918	3425,532227				
62,17324066	0,94756043	3431,650879				
62,27532959	0,945711315	3437,772217				
62,37727737	0,943186939	3443,890869				
62,47919464	0,938604712	3450,005615				
62,58111954	0,932944298	3456,12207				
62,68311691	0,927160323	3462,240967				
62,78498077	0,917903006	3468,353027				
62,88690567	0,904862285	3474,470703				
62,98892212	0,891524136	3480,591553				
63,09100342	0,876594365	3486,714355				
63,19287491	0,856384933	3492,828369				
63,29473877	0,831772685	3498,94043				
63,39667511	0,816113651	3505,05542				
63,49860764	0,796720505	3511,171143				
63,60045242	0,779783964	3517,280518				
63,70235062	0,765043557	3523,395752				
63,80428696	0,753795683	3529,511963				
63,90634155	0,742479324	3535,634766				
64,00822449	0,730691493	3541,748779				
64,11004639	0,714874566	3547,854736				
64,21189117	0,692693293	3553,968506				
64,31386566	0,669303477	3560,08667				
64,41586304	0,64051944	3566,205811				
64,51786804	0,62460959	3572,327148				
64,61986542	0,604389489	3578,443848				
64,72187042	0,595281899	3584,567383				
64,82369232	0,596412778	3590,674072				
64,92555237	0,597982585	3596,786621				
65,02745819	0,580990911	3602,900391				
65,12940216	0,555939972	3609,019287				
65,23137665	0,555139244	3615,13623				
65,33348083	0,535312355	3621,262451				
65,43553162	0,498351932	3627,385254				
65,53765106	0,470123172	3633,513672				
65,63955688	0,447414041	3639,624512				
65,74153137	0,416557968	3645,74707				
65,84346008	0,374224454	3651,861816				
65,94538879	0,32172966	3657,977539				
66,04730225	0,274673969	3664,090576				
66,14923859	0,2173004	3670,20874				
66,25138092	0,172929838	3676,334961				
66,35320282	0,142789468	3682,445557				
66,45513916	0,125122935	3688,563721				
66,55718231	0,119301103	3694,685303				
66,65917969	0,120219566	3700,805664				
66,76095581	0,1330681	3706,912598				
66,86276245	0,146613434	3713,020996				
66,96465302	0,154658884	3719,135498				
