1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
1168	-97,97077633
1169	-97,96970358
1170	-97,96854029
1171	-97,96723502
1172	-97,9657779
1173	-97,96423393
1174	-97,96265725
1175	-97,96109944
1176	-97,95953191
1177	-97,95793982
1178	-97,95638404
1179	-97,95491027
1180	-97,95347205
1181	-97,95211217
1182	-97,95090144
1183	-97,949905
1184	-97,94904157
1185	-97,94817631
1186	-97,94727968
1187	-97,94637888
1188	-97,94548363
1189	-97,94451426
1190	-97,94338004
1191	-97,94206825
1192	-97,9406253
1193	-97,93907043
1194	-97,93743815
1195	-97,93582803
1196	-97,93425755
1197	-97,93269571
1198	-97,93104846
1199	-97,9293508
1200	-97,92767519
1201	-97,92600662
1202	-97,92430584
1203	-97,92248876
1204	-97,9205817
1205	-97,91867216
1206	-97,91681056
1207	-97,91490551
1208	-97,91281182
1209	-97,91042829
1210	-97,90765391
1211	-97,90446352
1212	-97,90091286
1213	-97,89714155
1214	-97,89331928
1215	-97,88957382
1216	-97,88587739
1217	-97,88215386
1218	-97,87841908
1219	-97,87468237
1220	-97,87079757
1221	-97,86670105
1222	-97,86245841
1223	-97,85808804
1224	-97,85366521
1225	-97,84926321
1226	-97,84484203
1227	-97,84039836
1228	-97,83587935
1229	-97,83116413
1230	-97,8262561
1231	-97,82127418
1232	-97,81630331
1233	-97,81134974
1234	-97,80631828
1235	-97,80127224
1236	-97,79624174
1237	-97,79127553
1238	-97,78655149
1239	-97,7821187
1240	-97,77795741
1241	-97,77408233
1242	-97,77041027
1243	-97,76691837
1244	-97,76366003
1245	-97,76058347
1246	-97,75760053
1247	-97,75469129
1248	-97,75189448
1249	-97,74924316
1250	-97,74676365
1251	-97,74445175
1252	-97,74221016
1253	-97,73995104
1254	-97,73757509
1255	-97,73507921
1256	-97,73246774
1257	-97,72976223
1258	-97,72700058
1259	-97,72413988
1260	-97,72118294
1261	-97,71819331
1262	-97,71520738
1263	-97,71219955
1264	-97,7091843
1265	-97,70616609
1266	-97,70322733
1267	-97,70043752
1268	-97,69775149
1269	-97,69513114
1270	-97,69248083
1271	-97,68981036
1272	-97,6871596
1273	-97,68447227
1274	-97,68171011
1275	-97,6788593
1276	-97,67595446
1277	-97,67296525
1278	-97,6698748
1279	-97,66666853
1280	-97,66336812
1281	-97,65995857
1282	-97,65645984
1283	-97,65294431
1284	-97,64951327
1285	-97,64628394
1286	-97,64327505
1287	-97,64043964
1288	-97,6377813
1289	-97,6352789
1290	-97,63288416
1291	-97,63051516
1292	-97,62816005
1293	-97,62580484
1294	-97,62347769
1295	-97,6211774
1296	-97,61884362
1297	-97,61647948
1298	-97,61413313
1299	-97,61176786
1300	-97,60935751
1301	-97,60685265
1302	-97,60422216
1303	-97,60147357
1304	-97,5987056
1305	-97,59600087
1306	-97,59339718
1307	-97,59091814
1308	-97,58856137
1309	-97,58633145
1310	-97,58423796
1311	-97,58229563
1312	-97,58041333
1313	-97,57852142
1314	-97,57657938
1315	-97,57450523
1316	-97,57229653
1317	-97,5700188
1318	-97,56770108
1319	-97,56535195
1320	-97,56295161
1321	-97,56040258
1322	-97,55764332
1323	-97,55472263
1324	-97,55158042
1325	-97,54809828
1326	-97,54431711
1327	-97,54026384
1328	-97,53594191
1329	-97,53145861
1330	-97,52690313
1331	-97,52234057
1332	-97,5178228
1333	-97,51334357
1334	-97,50890623
1335	-97,50457826
1336	-97,50045247
1337	-97,49659028
1338	-97,49300688
1339	-97,48973661
1340	-97,48679859
1341	-97,48411079
1342	-97,48169747
1343	-97,47957046
1344	-97,47770268
1345	-97,47605983
1346	-97,47459153
1347	-97,4732218
1348	-97,47185303
1349	-97,47039152
1350	-97,4688249
1351	-97,46715987
1352	-97,46541408
1353	-97,46355987
1354	-97,46158202
1355	-97,45950699
1356	-97,45741047
1357	-97,4552901
1358	-97,45308608
1359	-97,4507097
1360	-97,44810481
1361	-97,44529001
1362	-97,4423414
1363	-97,43931456
1364	-97,43623385
1365	-97,43308015
1366	-97,42979596
1367	-97,42631588
1368	-97,42266008
1369	-97,41880766
1370	-97,41471599
1371	-97,4104166
1372	-97,40596173
1373	-97,40134289
1374	-97,39658954
1375	-97,39177859
1376	-97,38688836
1377	-97,38187089
1378	-97,37679667
1379	-97,37173972
1380	-97,3666795
1381	-97,36164561
1382	-97,35665564
